source,target,weight
118,55,3
118,19,3
118,88,3
118,27,3
80,48,2
80,40,3
80,112,3
80,110,3
26,12,2
26,63,2
12,188,2
12,26,3
12,63,3
12,68,3
12,186,3
12,195,3
12,193,3
114,105,3
114,119,3
114,195,3
114,186,3
114,185,3
114,188,3
114,96,3
114,32,3
48,195,2
32,31,1
32,118,1
32,195,2
32,193,2
32,105,3
32,65,3
32,188,3
32,105,3
32,114,3
32,33,3
32,11,3
113,195,3
113,193,3
113,20,3
113,112,3
113,75,3
96,112,3
96,38,3
96,99,3
96,5,3
96,195,3
96,185,3
96,186,3
96,193,3
96,188,3
96,100,3
96,119,3
20,75,3
20,113,3
75,20,3
75,92,3
75,113,3
75,193,3
75,195,3
75,188,3
75,186,3
75,185,3
66,34,1
66,4,2
66,70,2
66,78,2
4,70,3
4,78,3
4,34,3
4,66,3
78,4,3
78,70,3
78,34,3
78,66,3
70,185,1
70,186,1
70,193,2
70,4,3
70,119,3
70,66,3
70,78,3
70,34,3
70,195,3
112,119,2
112,110,2
112,5,3
112,96,3
112,80,3
112,195,3
112,186,3
112,185,3
112,113,3
103,34,2
103,21,3
103,6,3
103,95,3
103,22,3
103,72,3
103,55,3
6,195,1
6,193,2
6,95,2
6,21,3
95,38,1
95,117,1
95,96,1
95,21,1
95,3,1
95,72,1
95,22,2
95,40,2
95,195,2
95,193,2
95,188,2
95,186,2
95,185,2
21,6,2
21,95,2
21,32,2
21,22,2
21,103,2
3,65,2
3,16,2
3,193,2
79,193,2
79,195,2
79,93,3
79,106,3
79,185,3
79,188,3
106,195,2
106,193,2
106,79,3
106,93,3
106,188,3
106,186,3
106,185,3
44,195,2
44,186,2
44,72,3
44,92,3
44,188,3
44,185,3
93,106,2
93,79,2
38,185,1
38,188,1
38,186,2
38,100,3
38,99,3
38,119,3
38,96,3
38,195,3
38,193,3
99,195,2
99,185,2
99,96,3
99,38,3
99,100,3
99,119,3
119,185,1
119,186,2
119,112,2
119,38,3
119,100,3
119,99,3
119,96,3
119,195,3
72,55,3
72,44,3
72,92,3
5,12,2
5,96,3
5,112,3
16,114,2
16,119,2
16,3,3
16,31,3
27,88,2
27,19,3
27,118,3
27,55,3
27,188,3
27,185,3
27,186,3
27,195,3
31,186,1
31,3,3
31,16,3
31,195,3
31,193,3
31,32,3
65,11,3
65,114,3
65,32,3
65,105,3
65,33,3
33,11,2
33,5,2
33,6,2
33,22,2
33,114,2
33,105,2
33,32,2
33,65,2
33,188,2
33,195,3
33,185,3
105,114,2
105,11,2
105,32,2
105,33,2
105,65,2
19,195,2
19,185,2
19,186,2
19,27,3
19,118,3
19,88,3
19,55,3
55,103,2
55,27,2
55,75,2
55,118,2
55,72,2
55,88,2
55,195,2
55,193,2
55,188,2
55,186,2
55,185,2
55,19,2
63,12,2
63,26,2
63,68,2
100,185,1
100,186,1
100,193,2
100,12,2
100,38,3
100,99,3
100,119,3
100,96,3
100,195,3