ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Disagree
2,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree
3,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Disagree,Disagree
4,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
5,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
6,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
7,Agree,Strongly agree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree
8,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree
9,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree
10,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree
11,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree
12,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Agree
13,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree
14,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree
15,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree
16,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree
17,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Disagree
18,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
19,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree
20,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree