source,target,weight
16,119,2
16,114,2
16,112,2
16,20,3
16,76,3
11,92,2
11,103,2
11,100,2
11,79,2
76,185,1
76,193,1
76,114,2
76,112,2
76,119,2
76,16,3
76,20,3
76,195,3
114,193,1
114,119,3
114,112,3
114,16,3
114,76,3
114,195,3
27,44,3
27,63,3
6,96,3
6,99,3
6,185,3
6,105,3
66,114,2
66,195,3
66,19,3
118,5,3
118,86,3
118,12,3
118,186,3
118,188,3
118,88,3
118,195,3
119,16,2
119,76,2
119,185,2
119,112,3
119,114,3
119,195,3
4,22,3
4,80,3
4,48,3
96,95,2
96,6,3
96,38,3
96,195,3
96,185,3
96,99,3
96,105,3
96,33,3
33,6,3
33,99,3
33,105,3
33,96,3
33,195,3
33,185,3
78,117,3
78,106,3
78,193,3
106,195,1
106,93,2
106,117,3
106,78,3
106,193,3
34,31,2
34,60,2
34,113,3
34,193,3
93,75,3
93,55,3
93,65,3
93,26,3
93,8,3
31,195,1
31,113,2
31,34,2
31,60,3
31,193,3
70,185,1
70,195,2
70,72,3
70,40,3
70,95,3
70,193,3
70,188,3
70,186,3
95,40,2
95,70,2
95,72,2
75,65,3
75,93,3
75,26,3
75,55,3
75,8,3
75,195,3
75,193,3
75,188,3
75,186,3
111,3,3
111,110,3
111,68,3
111,38,3
111,195,3
111,193,3
111,188,3
111,186,3
22,4,3
22,80,3
22,48,3
22,193,3
3,111,3
3,68,3
3,38,3
3,110,3
55,72,2
55,193,2
55,75,3
55,8,3
55,26,3
55,93,3
55,65,3
55,188,3
55,186,3
38,3,3
38,111,3
38,68,3
38,110,3
68,195,1
68,193,2
68,38,2
68,3,2
68,110,3
68,188,3
68,186,3
68,111,3
110,3,1
110,68,2
110,111,3
40,95,3
40,70,3
105,6,3
105,99,3
105,33,3
105,96,3
105,195,3
105,185,3
44,195,3
44,27,3
26,55,2
26,65,2
26,75,2
26,8,3
26,93,3
20,114,1
20,119,2
20,112,2
20,16,3
20,76,3
99,185,2
99,195,2
99,105,3
99,96,3
99,33,3
99,6,3
79,11,3
79,100,3
79,103,3
79,92,3
79,193,3
100,195,3
100,193,3
100,11,3
100,79,3
100,103,3
100,92,3
103,92,2
103,100,2
103,11,2
103,79,2
103,72,2
88,12,3
88,118,3
88,86,3
88,5,3
88,186,3
88,188,3
88,195,3
21,66,3
21,32,3
21,19,3
19,21,3
19,103,3
19,66,3
19,32,3
92,86,1
92,186,1
92,100,1
92,103,2
92,26,2
92,11,2
92,195,3
92,106,3
92,111,3
92,22,3
92,185,3
117,6,3
117,78,3
117,193,3
65,55,3
65,75,3
65,26,3
65,93,3
65,8,3
65,105,3
60,113,1
60,34,1
60,31,2
60,193,2
60,195,2
8,193,1
8,75,3
8,93,3
8,55,3
8,65,3
8,26,3
113,31,2
113,60,2
113,34,3
113,193,3
48,22,1
48,4,1
48,80,3
5,12,3
5,88,3
5,86,3
5,118,3
5,188,3
5,186,3
12,193,1
12,195,2
12,5,3
12,86,3
12,88,3
12,118,3
12,188,3
12,186,3
86,188,2
86,195,2
86,12,3
86,118,3
86,88,3
86,5,3
86,186,3
63,27,2
63,44,2
112,16,2
112,76,2
112,20,2
112,119,3
112,114,3
112,80,3
112,195,3
112,185,3
80,112,3
80,48,3
80,4,3
80,22,3
32,66,3
32,21,3
72,70,3
72,40,3
72,95,3
72,55,3
72,103,3